,,amelRNA_1,amelRNA_2,amelRNA_3,amelRNA_4,amelRNA_5,amelRNA_6,amelRNA_7,amelRNA_8,amelRNA_9,amelRNA_10,amelRNA_11,amelRNA_12,amelRNA_13,amelRNA_14,amelRNA_15,amelRNA_16,amelRNA_18,amelRNA_19
Pairs aligned concordantly,Total number of pairs,29620775,30911037,31395825,32112536,32081947,31950608,30718531,30008714,30743620,31864855,30573422,32571115,31652897,29628405,31708754,29853017,31176380,30699600
Pairs aligned concordantly,Uniquely aligned pairs (%),26049478 (87.94%),27239267 (88.12%),27971795 (89.09%),28430984 (88.54%),28367725 (88.42%),28587787 (89.47%),27126080 (88.31%),26617522 (88.70%),27284363 (88.75%),27449748 (86.14%),25319222 (82.81%),28939493 (88.85%),28288823 (89.37%),25693821 (86.72%),27764888 (87.56%),25344208 (84.90%),27650410 (88.69%),26890929 (87.59%)
Pairs aligned concordantly,Multimapped pairs (%),525302 (1.77%),680166 (2.20%),572134 (1.82%),535309 (1.67%),637570 (1.99%),460095 (1.44%),396309 (1.29%),527332 (1.76%),505743 (1.65%),528560 (1.66%),448284 (1.47%),381349 (1.17%),467531 (1.48%),621517 (2.10%),531288 (1.68%),531541 (1.78%),616289 (1.98%),560815 (1.83%)
Pairs aligned disconcordantly,Total number of pairs,3045995,2991604,2851896,3146243,3076652,2902726,3196142,2863860,2953514,3886547,4805916,3250273,2896543,3313067,3412578,3977268,2909681,3247856
Pairs aligned disconcordantly,Uniquely aligned pairs (%),225090 (7.39%),274388 (9.17%),272897 (9.57%),228136 (7.25%),279069 (9.07%),276220 (9.52%),395726 (12.38%),265331 (9.26%),323062 (10.94%),248791 (6.40%),275312 (5.73%),405557 (12.48%),266376 (9.20%),387492 (11.70%),396345 (11.61%),350158 (8.80%),313336 (10.77%),389719 (12.00%)
Pairs aligned 0 times concordantly or discordantly,Total number of pairs,2820905,2717216,2578999,2918107,2797583,2626506,2800416,2598529,2630452,3637756,4530604,2844716,2630167,2925575,3016233,3627110,2596345,2858137
Pairs aligned 0 times concordantly or discordantly,Total number of mates,5641810,5434432,5157998,5836214,5595166,5253012,5600832,5197058,5260904,7275512,9061208,5689432,5260334,5851150,6032466,7254220,5192690,5716274
Pairs aligned 0 times concordantly or discordantly,Uniquely aligned mates (%),1780566 (31.56%),1792804 (32.99%),1602742 (31.07%),1931165 (33.09%),1874079 (33.49%),1735708 (33.04%),1788322 (31.93%),1751189 (33.70%),1675953 (31.86%),2134107 (29.33%),1671759 (18.45%),1671312 (29.38%),1716597 (32.63%),1835352 (31.37%),1853281 (30.72%),1603781 (22.11%),1698229 (32.70%),1690236 (29.57%)
Pairs aligned 0 times concordantly or discordantly,Multimapped mates (%),56423 (1.00%),72653 (1.34%),85290 (1.65%),76512 (1.31%),66125 (1.18%),55250 (1.05%),67819 (1.21%),43633 (0.84%),47650 (0.91%),67312 (0.93%),58426 (0.64%),58861 (1.03%),69590 (1.32%),77597 (1.33%),67921 (1.13%),60550 (0.83%),71732 (1.38%),73503 (1.29%)
,Overall alignment rate,93.58%,94.23%,94.47%,94.04%,94.30%,94.58%,93.90%,94.33%,94.25%,92.04%,88.01%,93.92%,94.51%,93.35%,93.52%,90.64%,94.51%,93.56%
